,Country,Latitude,Longitude,Date,Refugees from Ukraine,datetime
312,Poland,52.215933,19.134422,2022-04-10,2622117,2022-04-10
313,Hungary,47.1817585,19.5060937,2022-04-10,424367,2022-04-10
314,Republic of Moldova,47.2879608,28.5670941,2022-04-10,411365,2022-04-10
315,Slovakia,48.7411522,19.4528646,2022-04-10,317781,2022-04-10
316,Romania,45.9852129,24.6859225,2022-04-10,692501,2022-04-10
317,Russian Federation,64.6863136,97.7453061,2022-04-10,433083,2022-04-10
318,Belarus,53.4250605,27.6971358,2022-04-10,20739,2022-04-10
319,Ukraine,49.4871968,31.2718321,2022-04-10,0,2022-04-10
320,Poland,52.215933,19.134422,2022-04-11,2645877,2022-04-11
321,Hungary,47.1817585,19.5060937,2022-04-11,428954,2022-04-11
322,Republic of Moldova,47.2879608,28.5670941,2022-04-11,413374,2022-04-11
323,Slovakia,48.7411522,19.4528646,2022-04-11,320246,2022-04-11
324,Romania,45.9852129,24.6859225,2022-04-11,701741,2022-04-11
325,Russian Federation,64.6863136,97.7453061,2022-04-11,433083,2022-04-11
326,Belarus,53.4250605,27.6971358,2022-04-11,21292,2022-04-11
327,Ukraine,49.4871968,31.2718321,2022-04-11,0,2022-04-11
328,Poland,52.215933,19.134422,2022-04-12,2669637,2022-04-12
329,Hungary,47.1817585,19.5060937,2022-04-12,434342,2022-04-12
330,Republic of Moldova,47.2879608,28.5670941,2022-04-12,415850,2022-04-12
331,Slovakia,48.7411522,19.4528646,2022-04-12,323020,2022-04-12
332,Romania,45.9852129,24.6859225,2022-04-12,709249,2022-04-12
333,Russian Federation,64.6863136,97.7453061,2022-04-12,471014,2022-04-12
334,Belarus,53.4250605,27.6971358,2022-04-12,21852,2022-04-12
335,Ukraine,49.4871968,31.2718321,2022-04-12,0,2022-04-12
336,Poland,52.215933,19.134422,2022-04-13,2694090,2022-04-13
337,Hungary,47.1817585,19.5060937,2022-04-13,440387,2022-04-13
338,Republic of Moldova,47.2879608,28.5670941,2022-04-13,417650,2022-04-13
339,Slovakia,48.7411522,19.4528646,2022-04-13,326244,2022-04-13
340,Romania,45.9852129,24.6859225,2022-04-13,716797,2022-04-13
341,Russian Federation,64.6863136,97.7453061,2022-04-13,471014,2022-04-13
342,Belarus,53.4250605,27.6971358,2022-04-13,22428,2022-04-13
343,Ukraine,49.4871968,31.2718321,2022-04-13,0,2022-04-13
344,Poland,52.215933,19.134422,2022-04-14,2720622,2022-04-14
345,Hungary,47.1817585,19.5060937,2022-04-14,447053,2022-04-14
346,Republic of Moldova,47.2879608,28.5670941,2022-04-14,419499,2022-04-14
347,Slovakia,48.7411522,19.4528646,2022-04-14,329597,2022-04-14
348,Romania,45.9852129,24.6859225,2022-04-14,726857,2022-04-14
349,Russian Federation,64.6863136,97.7453061,2022-04-14,484725,2022-04-14
350,Belarus,53.4250605,27.6971358,2022-04-14,22827,2022-04-14
351,Ukraine,49.4871968,31.2718321,2022-04-14,0,2022-04-14
352,Poland,52.215933,19.134422,2022-04-15,2744778,2022-04-15
353,Hungary,47.1817585,19.5060937,2022-04-15,454098,2022-04-15
354,Republic of Moldova,47.2879608,28.5670941,2022-04-15,421130,2022-04-15
355,Slovakia,48.7411522,19.4528646,2022-04-15,332707,2022-04-15
356,Romania,45.9852129,24.6859225,2022-04-15,732473,2022-04-15
357,Russian Federation,64.6863136,97.7453061,2022-04-15,522404,2022-04-15
358,Belarus,53.4250605,27.6971358,2022-04-15,23469,2022-04-15
359,Ukraine,49.4871968,31.2718321,2022-04-15,0,2022-04-15
360,Poland,52.215933,19.134422,2022-04-16,2763786,2022-04-16
361,Hungary,47.1817585,19.5060937,2022-04-16,458654,2022-04-16
362,Republic of Moldova,47.2879608,28.5670941,2022-04-16,422550,2022-04-16
363,Slovakia,48.7411522,19.4528646,2022-04-16,335243,2022-04-16
364,Romania,45.9852129,24.6859225,2022-04-16,738862,2022-04-16
365,Russian Federation,64.6863136,97.7453061,2022-04-16,522404,2022-04-16
366,Belarus,53.4250605,27.6971358,2022-04-16,23469,2022-04-16
367,Ukraine,49.4871968,31.2718321,2022-04-16,0,2022-04-16
368,Poland,52.215933,19.134422,2022-04-17,2780913,2022-04-17
369,Hungary,47.1817585,19.5060937,2022-04-17,461539,2022-04-17
370,Republic of Moldova,47.2879608,28.5670941,2022-04-17,423852,2022-04-17
371,Slovakia,48.7411522,19.4528646,2022-04-17,337311,2022-04-17
372,Romania,45.9852129,24.6859225,2022-04-17,743880,2022-04-17
373,Russian Federation,64.6863136,97.7453061,2022-04-17,522404,2022-04-17
374,Belarus,53.4250605,27.6971358,2022-04-17,23469,2022-04-17
375,Ukraine,49.4871968,31.2718321,2022-04-17,0,2022-04-17
376,Poland,52.215933,19.134422,2022-04-18,2800713,2022-04-18
377,Hungary,47.1817585,19.5060937,2022-04-18,465598,2022-04-18
378,Republic of Moldova,47.2879608,28.5670941,2022-04-18,425227,2022-04-18
379,Slovakia,48.7411522,19.4528646,2022-04-18,339680,2022-04-18
380,Romania,45.9852129,24.6859225,2022-04-18,750693,2022-04-18
381,Russian Federation,64.6863136,97.7453061,2022-04-18,535842,2022-04-18
382,Belarus,53.4250605,27.6971358,2022-04-18,23609,2022-04-18
383,Ukraine,49.4871968,31.2718321,2022-04-18,0,2022-04-18
384,Poland,52.215933,19.134422,2022-04-19,2825463,2022-04-19
385,Hungary,47.1817585,19.5060937,2022-04-19,471080,2022-04-19
386,Republic of Moldova,47.2879608,28.5670941,2022-04-19,426964,2022-04-19
387,Slovakia,48.7411522,19.4528646,2022-04-19,342813,2022-04-19
388,Romania,45.9852129,24.6859225,2022-04-19,757047,2022-04-19
389,Russian Federation,64.6863136,97.7453061,2022-04-19,549805,2022-04-19
390,Belarus,53.4250605,27.6971358,2022-04-19,23759,2022-04-19
391,Ukraine,49.4871968,31.2718321,2022-04-19,0,2022-04-19
392,Poland,52.215933,19.134422,2022-04-20,2847540,2022-04-20
393,Hungary,47.1817585,19.5060937,2022-04-20,476213,2022-04-20
394,Republic of Moldova,47.2879608,28.5670941,2022-04-20,428577,2022-04-20
395,Slovakia,48.7411522,19.4528646,2022-04-20,346175,2022-04-20
396,Romania,45.9852129,24.6859225,2022-04-20,763769,2022-04-20
397,Russian Federation,64.6863136,97.7453061,2022-04-20,563266,2022-04-20
398,Belarus,53.4250605,27.6971358,2022-04-20,23900,2022-04-20
399,Ukraine,49.4871968,31.2718321,2022-04-20,0,2022-04-20
400,Poland,52.215933,19.134422,2022-04-21,2867241,2022-04-21
401,Hungary,47.1817585,19.5060937,2022-04-21,480974,2022-04-21
402,Republic of Moldova,47.2879608,28.5670941,2022-04-21,430170,2022-04-21
403,Slovakia,48.7411522,19.4528646,2022-04-21,349286,2022-04-21
404,Romania,45.9852129,24.6859225,2022-04-21,769616,2022-04-21
405,Russian Federation,64.6863136,97.7453061,2022-04-21,578255,2022-04-21
406,Belarus,53.4250605,27.6971358,2022-04-21,24084,2022-04-21
407,Ukraine,49.4871968,31.2718321,2022-04-21,0,2022-04-21
408,Poland,52.215933,19.134422,2022-04-22,2884764,2022-04-22
409,Hungary,47.1817585,19.5060937,2022-04-22,485618,2022-04-22
410,Republic of Moldova,47.2879608,28.5670941,2022-04-22,431468,2022-04-22
411,Slovakia,48.7411522,19.4528646,2022-04-22,352286,2022-04-22
412,Romania,45.9852129,24.6859225,2022-04-22,774094,2022-04-22
413,Russian Federation,64.6863136,97.7453061,2022-04-22,605815,2022-04-22
414,Belarus,53.4250605,27.6971358,2022-04-22,24477,2022-04-22
415,Ukraine,49.4871968,31.2718321,2022-04-22,0,2022-04-22
416,Poland,52.215933,19.134422,2022-04-23,2899713,2022-04-23
417,Hungary,47.1817585,19.5060937,2022-04-23,489754,2022-04-23
418,Republic of Moldova,47.2879608,28.5670941,2022-04-23,433214,2022-04-23
419,Slovakia,48.7411522,19.4528646,2022-04-23,354329,2022-04-23
420,Romania,45.9852129,24.6859225,2022-04-23,777602,2022-04-23
421,Russian Federation,64.6863136,97.7453061,2022-04-23,605815,2022-04-23
422,Belarus,53.4250605,27.6971358,2022-04-23,24477,2022-04-23
423,Ukraine,49.4871968,31.2718321,2022-04-23,0,2022-04-23
424,Poland,52.215933,19.134422,2022-04-24,2909415,2022-04-24
425,Hungary,47.1817585,19.5060937,2022-04-24,492976,2022-04-24
426,Republic of Moldova,47.2879608,28.5670941,2022-04-24,433895,2022-04-24
427,Slovakia,48.7411522,19.4528646,2022-04-24,355593,2022-04-24
428,Romania,45.9852129,24.6859225,2022-04-24,782598,2022-04-24
429,Russian Federation,64.6863136,97.7453061,2022-04-24,605815,2022-04-24
430,Belarus,53.4250605,27.6971358,2022-04-24,24477,2022-04-24
431,Ukraine,49.4871968,31.2718321,2022-04-24,0,2022-04-24
432,Poland,52.215933,19.134422,2022-04-25,2922978,2022-04-25
433,Hungary,47.1817585,19.5060937,2022-04-25,496914,2022-04-25
434,Republic of Moldova,47.2879608,28.5670941,2022-04-25,435275,2022-04-25
435,Slovakia,48.7411522,19.4528646,2022-04-25,357560,2022-04-25
436,Romania,45.9852129,24.6859225,2022-04-25,782598,2022-04-25
437,Russian Federation,64.6863136,97.7453061,2022-04-25,614318,2022-04-25
438,Belarus,53.4250605,27.6971358,2022-04-25,24578,2022-04-25
439,Ukraine,49.4871968,31.2718321,2022-04-25,0,2022-04-25
440,Poland,52.215933,19.134422,2022-04-27,2968716,2022-04-27
441,Hungary,47.1817585,19.5060937,2022-04-27,507849,2022-04-27
442,Republic of Moldova,47.2879608,28.5670941,2022-04-27,439290,2022-04-27
443,Slovakia,48.7411522,19.4528646,2022-04-27,363940,2022-04-27
444,Romania,45.9852129,24.6859225,2022-04-27,801453,2022-04-27
445,Russian Federation,64.6863136,97.7453061,2022-04-27,641752,2022-04-27
446,Belarus,53.4250605,27.6971358,2022-04-27,24857,2022-04-27
447,Ukraine,49.4871968,31.2718321,2022-04-27,0,2022-04-27
448,Poland,52.215933,19.134422,2022-04-28,2992575,2022-04-28
449,Hungary,47.1817585,19.5060937,2022-04-28,513848,2022-04-28
450,Republic of Moldova,47.2879608,28.5670941,2022-04-28,441437,2022-04-28
451,Slovakia,48.7411522,19.4528646,2022-04-28,367904,2022-04-28
452,Romania,45.9852129,24.6859225,2022-04-28,810021,2022-04-28
453,Russian Federation,64.6863136,97.7453061,2022-04-28,656381,2022-04-28
454,Belarus,53.4250605,27.6971358,2022-04-28,25002,2022-04-28
455,Ukraine,49.4871968,31.2718321,2022-04-28,0,2022-04-28
456,Poland,52.215933,19.134422,2022-04-29,3014157,2022-04-29
457,Hungary,47.1817585,19.5060937,2022-04-29,519979,2022-04-29
458,Republic of Moldova,47.2879608,28.5670941,2022-04-29,443559,2022-04-29
459,Slovakia,48.7411522,19.4528646,2022-04-29,371918,2022-04-29
460,Romania,45.9852129,24.6859225,2022-04-29,817303,2022-04-29
461,Russian Federation,64.6863136,97.7453061,2022-04-29,681156,2022-04-29
462,Belarus,53.4250605,27.6971358,2022-04-29,25852,2022-04-29
463,Ukraine,49.4871968,31.2718321,2022-04-29,0,2022-04-29
464,Poland,52.215933,19.134422,2022-04-30,3056826,2022-04-30
465,Hungary,47.1817585,19.5060937,2022-04-30,530157,2022-04-30
466,Republic of Moldova,47.2879608,28.5670941,2022-04-30,447604,2022-04-30
467,Slovakia,48.7411522,19.4528646,2022-04-30,379447,2022-04-30
468,Romania,45.9852129,24.6859225,2022-04-30,825874,2022-04-30
469,Russian Federation,64.6863136,97.7453061,2022-04-30,681156,2022-04-30
470,Belarus,53.4250605,27.6971358,2022-04-30,25852,2022-04-30
471,Ukraine,49.4871968,31.2718321,2022-04-30,0,2022-04-30
472,Poland,52.215933,19.134422,2022-05-01,3056826,2022-05-01
473,Hungary,47.1817585,19.5060937,2022-05-01,530157,2022-05-01
474,Republic of Moldova,47.2879608,28.5670941,2022-05-01,447604,2022-05-01
475,Slovakia,48.7411522,19.4528646,2022-05-01,379447,2022-05-01
476,Romania,45.9852129,24.6859225,2022-05-01,836173,2022-05-01
477,Russian Federation,64.6863136,97.7453061,2022-05-01,703523,2022-05-01
478,Belarus,53.4250605,27.6971358,2022-05-01,25852,2022-05-01
479,Ukraine,49.4871968,31.2718321,2022-05-01,0,2022-05-01
480,Poland,52.215933,19.134422,2022-05-02,3075240,2022-05-02
481,Hungary,47.1817585,19.5060937,2022-05-02,534821,2022-05-02
482,Republic of Moldova,47.2879608,28.5670941,2022-05-02,448170,2022-05-02
483,Slovakia,48.7411522,19.4528646,2022-05-02,382024,2022-05-02
484,Romania,45.9852129,24.6859225,2022-05-02,836173,2022-05-02
485,Russian Federation,64.6863136,97.7453061,2022-05-02,703523,2022-05-02
486,Belarus,53.4250605,27.6971358,2022-05-02,25852,2022-05-02
487,Ukraine,49.4871968,31.2718321,2022-05-02,0,2022-05-02
488,Poland,52.215933,19.134422,2022-05-03,3094446,2022-05-03
489,Hungary,47.1817585,19.5060937,2022-05-03,539821,2022-05-03
490,Republic of Moldova,47.2879608,28.5670941,2022-05-03,449605,2022-05-03
491,Slovakia,48.7411522,19.4528646,2022-05-03,385284,2022-05-03
492,Romania,45.9852129,24.6859225,2022-05-03,846521,2022-05-03
493,Russian Federation,64.6863136,97.7453061,2022-05-03,703523,2022-05-03
494,Belarus,53.4250605,27.6971358,2022-05-03,25852,2022-05-03
495,Ukraine,49.4871968,31.2718321,2022-05-03,0,2022-05-03
496,Poland,52.215933,19.134422,2022-05-04,3119196,2022-05-04
497,Hungary,47.1817585,19.5060937,2022-05-04,545311,2022-05-04
498,Republic of Moldova,47.2879608,28.5670941,2022-05-04,450797,2022-05-04
499,Slovakia,48.7411522,19.4528646,2022-05-04,388282,2022-05-04
500,Romania,45.9852129,24.6859225,2022-05-04,854292,2022-05-04
501,Russian Federation,64.6863136,97.7453061,2022-05-04,714713,2022-05-04
502,Belarus,53.4250605,27.6971358,2022-05-04,26149,2022-05-04
503,Ukraine,49.4871968,31.2718321,2022-05-04,0,2022-05-04
504,Poland,52.215933,19.134422,2022-05-05,3143550,2022-05-05
505,Hungary,47.1817585,19.5060937,2022-05-05,551010,2022-05-05
506,Republic of Moldova,47.2879608,28.5670941,2022-05-05,452038,2022-05-05
507,Slovakia,48.7411522,19.4528646,2022-05-05,391592,2022-05-05
508,Romania,45.9852129,24.6859225,2022-05-05,856941,2022-05-05
509,Russian Federation,64.6863136,97.7453061,2022-05-05,727712,2022-05-05
510,Belarus,53.4250605,27.6971358,2022-05-05,26149,2022-05-05
511,Ukraine,49.4871968,31.2718321,2022-05-05,0,2022-05-05
512,Poland,52.215933,19.134422,2022-05-06,3167805,2022-05-06
513,Hungary,47.1817585,19.5060937,2022-05-06,557001,2022-05-06
514,Republic of Moldova,47.2879608,28.5670941,2022-05-06,453848,2022-05-06
515,Slovakia,48.7411522,19.4528646,2022-05-06,402332,2022-05-06
516,Romania,45.9852129,24.6859225,2022-05-06,880100,2022-05-06
517,Russian Federation,64.6863136,97.7453061,2022-05-06,739418,2022-05-06
518,Belarus,53.4250605,27.6971358,2022-05-06,26278,2022-05-06
519,Ukraine,49.4871968,31.2718321,2022-05-06,0,2022-05-06
520,Poland,52.215933,19.134422,2022-05-08,3217206,2022-05-08
521,Hungary,47.1817585,19.5060937,2022-05-08,568630,2022-05-08
522,Republic of Moldova,47.2879608,28.5670941,2022-05-08,456947,2022-05-08
523,Slovakia,48.7411522,19.4528646,2022-05-08,402332,2022-05-08
524,Romania,45.9852129,24.6859225,2022-05-08,880100,2022-05-08
525,Russian Federation,64.6863136,97.7453061,2022-05-08,772121,2022-05-08
526,Belarus,53.4250605,27.6971358,2022-05-08,26985,2022-05-08
527,Ukraine,49.4871968,31.2718321,2022-05-08,0,2022-05-08
528,Poland,52.215933,19.134422,2022-05-09,3234036,2022-05-09
529,Hungary,47.1817585,19.5060937,2022-05-09,572760,2022-05-09
530,Republic of Moldova,47.2879608,28.5670941,2022-05-09,457066,2022-05-09
531,Slovakia,48.7411522,19.4528646,2022-05-09,404463,2022-05-09
532,Romania,45.9852129,24.6859225,2022-05-09,883655,2022-05-09
533,Russian Federation,64.6863136,97.7453061,2022-05-09,772121,2022-05-09
534,Belarus,53.4250605,27.6971358,2022-05-09,26985,2022-05-09
535,Ukraine,49.4871968,31.2718321,2022-05-09,0,2022-05-09
536,Poland,52.215933,19.134422,2022-05-10,3251955,2022-05-10
537,Hungary,47.1817585,19.5060937,2022-05-10,577820,2022-05-10
538,Republic of Moldova,47.2879608,28.5670941,2022-05-10,458242,2022-05-10
539,Slovakia,48.7411522,19.4528646,2022-05-10,406833,2022-05-10
540,Romania,45.9852129,24.6859225,2022-05-10,889674,2022-05-10
541,Russian Federation,64.6863136,97.7453061,2022-05-10,772121,2022-05-10
542,Belarus,53.4250605,27.6971358,2022-05-10,27108,2022-05-10
543,Ukraine,49.4871968,31.2718321,2022-05-10,0,2022-05-10
544,Poland,52.215933,19.134422,2022-05-11,3272943,2022-05-11
545,Hungary,47.1817585,19.5060937,2022-05-11,583066,2022-05-11
546,Republic of Moldova,47.2879608,28.5670941,2022-05-11,459546,2022-05-11
547,Slovakia,48.7411522,19.4528646,2022-05-11,409527,2022-05-11
548,Romania,45.9852129,24.6859225,2022-05-11,895828,2022-05-11
549,Russian Federation,64.6863136,97.7453061,2022-05-11,785348,2022-05-11
550,Belarus,53.4250605,27.6971358,2022-05-11,27308,2022-05-11
551,Ukraine,49.4871968,31.2718321,2022-05-11,0,2022-05-11
552,Poland,52.215933,19.134422,2022-05-12,3315711,2022-05-12
553,Hungary,47.1817585,19.5060937,2022-05-12,594664,2022-05-12
554,Republic of Moldova,47.2879608,28.5670941,2022-05-12,461742,2022-05-12
555,Slovakia,48.7411522,19.4528646,2022-05-12,415402,2022-05-12
556,Romania,45.9852129,24.6859225,2022-05-12,901696,2022-05-12
557,Russian Federation,64.6863136,97.7453061,2022-05-12,800104,2022-05-12
558,Belarus,53.4250605,27.6971358,2022-05-12,27308,2022-05-12
559,Ukraine,49.4871968,31.2718321,2022-05-12,0,2022-05-12
560,Poland,52.215933,19.134422,2022-05-13,3315711,2022-05-13
561,Hungary,47.1817585,19.5060937,2022-05-13,594664,2022-05-13
562,Republic of Moldova,47.2879608,28.5670941,2022-05-13,461742,2022-05-13
563,Slovakia,48.7411522,19.4528646,2022-05-13,415402,2022-05-13
564,Romania,45.9852129,24.6859225,2022-05-13,919574,2022-05-13
565,Russian Federation,64.6863136,97.7453061,2022-05-13,838434,2022-05-13
566,Belarus,53.4250605,27.6971358,2022-05-13,29404,2022-05-13
567,Ukraine,49.4871968,31.2718321,2022-05-13,0,2022-05-13
568,Poland,52.215933,19.134422,2022-05-15,3357984,2022-05-15
569,Hungary,47.1817585,19.5060937,2022-05-15,605628,2022-05-15
570,Republic of Moldova,47.2879608,28.5670941,2022-05-15,463348,2022-05-15
571,Slovakia,48.7411522,19.4528646,2022-05-15,421662,2022-05-15
572,Romania,45.9852129,24.6859225,2022-05-15,919574,2022-05-15
573,Russian Federation,64.6863136,97.7453061,2022-05-15,838434,2022-05-15
574,Belarus,53.4250605,27.6971358,2022-05-15,29404,2022-05-15
575,Ukraine,49.4871968,31.2718321,2022-05-15,0,2022-05-15
576,Poland,52.215933,19.134422,2022-05-16,3376992,2022-05-16
577,Hungary,47.1817585,19.5060937,2022-05-16,610076,2022-05-16
578,Republic of Moldova,47.2879608,28.5670941,2022-05-16,464294,2022-05-16
579,Slovakia,48.7411522,19.4528646,2022-05-16,424027,2022-05-16
580,Romania,45.9852129,24.6859225,2022-05-16,924869,2022-05-16
581,Russian Federation,64.6863136,97.7453061,2022-05-16,850534,2022-05-16
582,Belarus,53.4250605,27.6971358,2022-05-16,29404,2022-05-16
583,Ukraine,49.4871968,31.2718321,2022-05-16,0,2022-05-16
584,Poland,52.215933,19.134422,2022-05-24,3544995,2022-05-24
585,Hungary,47.1817585,19.5060937,2022-05-24,654664,2022-05-24
586,Republic of Moldova,47.2879608,28.5670941,2022-05-24,473690,2022-05-24
587,Slovakia,48.7411522,19.4528646,2022-05-24,446755,2022-05-24
588,Romania,45.9852129,24.6859225,2022-05-24,972203,2022-05-24
589,Russian Federation,64.6863136,97.7453061,2022-05-24,945007,2022-05-24
590,Belarus,53.4250605,27.6971358,2022-05-24,29404,2022-05-24
591,Ukraine,49.4871968,31.2718321,2022-05-24,0,2022-05-24
592,Poland,52.215933,19.134422,2022-05-25,3559394,2022-05-25
593,Hungary,47.1817585,19.5060937,2022-05-25,660192,2022-05-25
594,Republic of Moldova,47.2879608,28.5670941,2022-05-25,475011,2022-05-25
595,Slovakia,48.7411522,19.4528646,2022-05-25,449509,2022-05-25
596,Romania,45.9852129,24.6859225,2022-05-25,978407,2022-05-25
597,Russian Federation,64.6863136,97.7453061,2022-05-25,958060,2022-05-25
598,Belarus,53.4250605,27.6971358,2022-05-25,29404,2022-05-25
599,Ukraine,49.4871968,31.2718321,2022-05-25,0,2022-05-25
600,Poland,52.215933,19.134422,2022-05-26,3559394,2022-05-26
601,Hungary,47.1817585,19.5060937,2022-05-26,665533,2022-05-26
602,Republic of Moldova,47.2879608,28.5670941,2022-05-26,476290,2022-05-26
603,Slovakia,48.7411522,19.4528646,2022-05-26,451850,2022-05-26
604,Romania,45.9852129,24.6859225,2022-05-26,984224,2022-05-26
605,Russian Federation,64.6863136,97.7453061,2022-05-26,971417,2022-05-26
606,Belarus,53.4250605,27.6971358,2022-05-26,29547,2022-05-26
607,Ukraine,49.4871968,31.2718321,2022-05-26,0,2022-05-26
608,Poland,52.215933,19.134422,2022-05-27,3581612,2022-05-27
609,Hungary,47.1817585,19.5060937,2022-05-27,671463,2022-05-27
610,Republic of Moldova,47.2879608,28.5670941,2022-05-27,477637,2022-05-27
611,Slovakia,48.7411522,19.4528646,2022-05-27,454961,2022-05-27
612,Romania,45.9852129,24.6859225,2022-05-27,989357,2022-05-27
613,Russian Federation,64.6863136,97.7453061,2022-05-27,971417,2022-05-27
614,Belarus,53.4250605,27.6971358,2022-05-27,30092,2022-05-27
615,Ukraine,49.4871968,31.2718321,2022-05-27,0,2022-05-27
616,Poland,52.215933,19.134422,2022-05-29,3627178,2022-05-29
617,Hungary,47.1817585,19.5060937,2022-05-29,682594,2022-05-29
618,Republic of Moldova,47.2879608,28.5670941,2022-05-29,479513,2022-05-29
619,Slovakia,48.7411522,19.4528646,2022-05-29,461164,2022-05-29
620,Romania,45.9852129,24.6859225,2022-05-29,989357,2022-05-29
621,Russian Federation,64.6863136,97.7453061,2022-05-29,971417,2022-05-29
622,Belarus,53.4250605,27.6971358,2022-05-29,30092,2022-05-29
623,Ukraine,49.4871968,31.2718321,2022-05-29,0,2022-05-29
